Customer ID,Umur,Income,Product_holding,Saving,Deposit,KK,Tab Bisnis,Limit Kredit Mortgage,,,,
1234561175,27,48456121,3,45149155,22079895,856297,0,4379499411,1,1,1,0
1234561810,53,34870604,3,3884779,0,599572,17479146,5590710218,1,0,1,1
1234561778,52,19423557,2,19406530,0,2743516,0,5062479210,1,0,1,0
1234561915,40,47042967,4,16639872,18639840,4534694,18489681,793484760,1,1,1,1
1234561363,55,41072996,2,19249501,0,0,11176695,5104873527,1,0,0,1
1234561836,49,18697037,2,18896752,18926176,0,0,4063897759,1,1,0,0
1234561944,32,48011377,1,10962151,0,0,0,2234146590,1,0,0,0
1234561830,45,19183240,3,27508129,24001866,0,12135457,5304920824,1,1,0,1
1234561621,33,15244193,4,26040821,17599716,2003089,13794361,4164457839,1,1,1,1
1234561498,39,47215186,3,6730897,0,2670910,14794262,2041336065,1,0,1,1
1234561169,43,33863309,3,1226221,0,870942,11825330,1812755789,1,0,1,1
1234561815,35,19007767,3,37463563,0,2636203,16411518,5466875842,1,0,1,1
1234561919,52,28737631,3,9853362,29494291,3917712,0,1006467840,1,1,1,0
1234561095,35,18372633,2,26752329,0,4204077,0,2303015102,1,0,1,0
1234561624,35,20065745,2,21770917,0,2041011,0,4149916495,1,0,1,0
1234561850,31,19901866,2,48871616,0,1450620,0,2302324092,1,0,1,0
1234561891,25,43474890,2,34422041,0,0,16782180,2202607996,1,0,0,1
1234561009,32,22717385,3,1378423,0,1992980,11041308,2344508471,1,0,1,1
1234561809,33,16709263,2,8037815,0,4481486,0,2013791077,1,0,1,0
1234561832,38,44909397,3,12493276,28217465,0,18376245,4713796447,1,1,0,1
1234561193,54,48143902,3,44793220,25533913,0,12474513,954439981,1,1,0,1
1234561398,41,27320916,2,19571729,0,0,11183793,5850307215,1,0,0,1
1234561679,48,42939302,3,27294202,0,1699508,14213785,2403435739,1,0,1,1
1234561331,45,20606144,1,22512312,0,0,0,307830787,1,0,0,0
1234561000,42,34046413,3,41144855,0,4639461,12568467,1289781437,1,0,1,1
1234561107,34,35968937,3,19003836,15220587,4745684,0,3413309911,1,1,1,0
1234561162,55,33774372,2,29383451,0,1953410,0,1150570246,1,0,1,0
1234561275,41,21392711,3,8650371,0,2080363,17122297,2006477310,1,0,1,1
1234561148,22,43519612,1,15084662,0,0,0,2818527216,1,0,0,0
1234561623,22,32480127,2,46488623,16963403,0,0,4213879145,1,1,0,0
1234561834,53,35117177,2,10732781,0,1161398,0,3419002634,1,0,1,0
1234561958,44,36408305,3,7115150,16026727,0,14534210,5557846213,1,1,0,1
1234561488,51,36048421,3,2815396,12312717,0,13049049,4928441714,1,1,0,1
1234561677,48,20388496,4,7130302,18887118,4257425,12513758,4515349556,1,1,1,1
1234561828,55,35373654,4,15615162,14536803,2043596,14905774,1320224169,1,1,1,1
1234561621,48,10650536,3,40074474,22723920,3807015,0,1657986015,1,1,1,0
1234562000,43,38494339,2,38113200,24501077,0,0,5533468749,1,1,0,0
1234561930,52,26383605,2,27142002,21475558,0,0,2807354413,1,1,0,0
1234561384,22,41085008,3,42611901,0,3967111,16012914,2899353278,1,0,1,1
1234561233,21,18921452,4,7008850,2369078,1159346,11783593,1385204609,1,1,1,1
1234561359,37,45333846,2,36189414,0,717180,0,3288566483,1,0,1,0
1234561160,38,38635649,4,33214172,28267601,3477579,10092509,3737160412,1,1,1,1
1234561945,25,16956968,3,49497274,0,2856270,18879655,5454292130,1,0,1,1
1234561128,48,20992329,1,9212239,0,0,0,2745487321,1,0,0,0
1234561216,27,33733181,3,33798365,5919831,0,17292382,5280618177,1,1,0,1
1234561352,27,26476823,4,43629750,26989173,2769435,18533494,2965364925,1,1,1,1
1234561072,55,14993892,3,23094196,0,3740496,14135412,4162536684,1,0,1,1
